unique_id,has_missing_features,wave,professional_role,years_of_experience,years_of_experience_o,d_years_experience,d_d_years_experience,ethnic_background,ethnic_background_o,shared_ethnicity,significance_shared_ethnicity,significance_shared_religon,d_significance_shared_ethnicity,d_significance_shared_religon,study_field,pref_o_communication_skills,pref_o_reliability,pref_o_intelligence,pref_o_creativity,pref_o_ambitious,pref_o_shared_interests,d_pref_o_communication_skills,d_pref_o_reliability,d_pref_o_intelligence,d_pref_o_creativity,d_pref_o_ambitious,d_pref_o_shared_interests,communication_skills_o,reliability_o,intelligence_o,creativity_o,ambitous_o,shared_interests_o,d_communication_skills_o,d_reliability_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,communication_skills_important,reliability_important,intellicence_important,shared_interests_important,d_communication_skills_important,d_reliability_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,communication_skills,reliability,intelligence,creativity,ambition,d_communication_skills,d_reliability,d_intelligence,d_creative,d_ambition,communication_skills_partner,reliability_partner,intelligence_partner,creativity_partner,ambition_partner,shared_interests_partner,d_communication_skills_partner,d_reliability_partner,d_intelligence_partner,d_creativity_partner,d_ambition_partner,d_shared_interests_partner,sustainability,collaborations,work_life_balance,commitment,loyalty,social_events,shared_working_space,after_hours_friendships,independent_working,high_salary,community_involvement,diversity_and_inclusion,mentorship_programs,employee_benefits,job_security,flexible_working_hours,work_from_home,d_sustainability,d_collaborations,d_work_life_balance,d_commitment,d_loyalty,d_social_events,d_shared_working_space,d_after_hours_friendships,d_independent_working,d_high_salary,d_community_involvement,d_diversity_and_inclusion,d_mentorship_programs,d_employee_benefits,d_job_security,d_flexible_working_hours,d_work_from_home,interests_correlate,d_interests_correlate,expected_satisfied_with_people,expected_num_interested_in_me,expected_num_matches,d_expected_satisfied_with_people,d_expected_num_interested_in_me,d_expected_num_matches,satisfied,guess_prob_satisfied,d_satisfied,d_guess_prob_satisfied,met
7030,b'',1.0,b'technical',2.0,8.0,6.0,b'[4-6]',b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2.0,4.0,b'[2-5]',b'[2-5]',b'Law',35.0,20.0,20.0,20.0,0.0,5.0,b'[21-100]',b'[16-20]',b'[16-20]',b'[16-20]',b'[0-15]',b'[0-15]',6.0,8.0,8.0,8.0,8.0,6.0,b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',15.0,20.0,20.0,15.0,b'[0-15]',b'[16-20]',b'[16-20]',b'[0-15]',b'[0-15]',b'[0-15]',6.0,8.0,8.0,8.0,7.0,b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',6.0,9.0,7.0,7.0,6.0,5.0,b'[6-8]',b'[9-10]',b'[6-8]',b'[6-8]',b'[6-8]',b'[0-5]',9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,b'[9-10]',b'[0-5]',b'[6-8]',b'[9-10]',b'[0-5]',b'[0-5]',b'[0-5]',b'[0-5]',b'[0-5]',b'[6-8]',b'[9-10]',b'[0-5]',b'[9-10]',b'[9-10]',b'[9-10]',b'[6-8]',b'[0-5]',0.14,b'[0-0.33]',3.0,2.0,4.0,b'[0-4]',b'[0-3]',b'[3-5]',7.0,6.0,b'[6-8]',b'[5-6]',0.0
7135,b'',1.0,b'technical',6.0,3.0,3.0,b'[2-3]',b'European/Caucasian-American',b'European/Caucasian-American',b'1',8.0,4.0,b'[6-10]',b'[2-5]',b'Economics',60.0,0.0,0.0,40.0,0.0,0.0,b'[21-100]',b'[0-15]',b'[0-15]',b'[21-100]',b'[0-15]',b'[0-15]',6.0,7.0,10.0,6.0,6.0,5.0,b'[6-8]',b'[6-8]',b'[9-10]',b'[6-8]',b'[6-8]',b'[0-5]',35.0,10.0,35.0,0.0,b'[21-100]',b'[0-15]',b'[21-100]',b'[0-15]',b'[0-15]',b'[0-15]',8.0,9.0,8.0,9.0,8.0,b'[6-8]',b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',9.0,7.0,9.0,8.0,9.0,7.0,b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[0-5]',b'[0-5]',b'[6-8]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[0-5]',b'[6-8]',b'[6-8]',-0.14,b'[-1-0]',4.0,2.0,,b'[0-4]',b'[0-3]',b'[0-2]',8.0,7.0,b'[6-8]',b'[7-10]',0.0
3506,b'',1.0,b'technical',6.0,11.0,5.0,b'[4-6]',b'European/Caucasian-American',b'European/Caucasian-American',b'1',8.0,4.0,b'[6-10]',b'[2-5]',b'Economics',35.0,15.0,25.0,10.0,5.0,10.0,b'[21-100]',b'[0-15]',b'[21-100]',b'[0-15]',b'[0-15]',b'[0-15]',6.0,3.0,5.0,4.0,5.0,4.0,b'[6-8]',b'[0-5]',b'[0-5]',b'[0-5]',b'[0-5]',b'[0-5]',35.0,10.0,35.0,0.0,b'[21-100]',b'[0-15]',b'[21-100]',b'[0-15]',b'[0-15]',b'[0-15]',8.0,9.0,8.0,9.0,8.0,b'[6-8]',b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',8.0,9.0,10.0,7.0,7.0,9.0,b'[6-8]',b'[9-10]',b'[9-10]',b'[6-8]',b'[6-8]',b'[9-10]',3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[0-5]',b'[0-5]',b'[6-8]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[0-5]',b'[6-8]',b'[6-8]',-0.26,b'[-1-0]',4.0,2.0,,b'[0-4]',b'[0-3]',b'[0-2]',8.0,7.0,b'[6-8]',b'[7-10]',0.0
8620,b'',1.0,b'technical',2.0,4.0,2.0,b'[2-3]',b'European/Caucasian-American',b'European/Caucasian-American',b'1',8.0,1.0,b'[6-10]',b'[0-1]',b'Law',30.0,5.0,15.0,40.0,5.0,5.0,b'[21-100]',b'[0-15]',b'[0-15]',b'[21-100]',b'[0-15]',b'[0-15]',6.0,8.0,6.0,8.0,10.0,10.0,b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',b'[9-10]',20.0,5.0,25.0,15.0,b'[16-20]',b'[0-15]',b'[21-100]',b'[21-100]',b'[0-15]',b'[0-15]',6.0,3.0,6.0,10.0,8.0,b'[6-8]',b'[0-5]',b'[6-8]',b'[9-10]',b'[6-8]',8.0,5.0,5.0,7.0,7.0,9.0,b'[6-8]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[9-10]',7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,b'[6-8]',b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[0-5]',b'[6-8]',b'[6-8]',b'[0-5]',0.08,b'[0-0.33]',7.0,10.0,,b'[7-10]',b'[10-20]',b'[0-2]',8.0,2.0,b'[6-8]',b'[0-4]',1.0
4024,b'',1.0,b'technical',4.0,3.0,1.0,b'[0-1]',b'Asian/Pacific Islander/Asian-American',b'Asian/Pacific Islander/Asian-American',b'1',1.0,1.0,b'[0-1]',b'[0-1]',b'law',19.0,18.0,19.0,18.0,14.0,12.0,b'[16-20]',b'[16-20]',b'[16-20]',b'[16-20]',b'[0-15]',b'[0-15]',10.0,10.0,10.0,10.0,10.0,10.0,b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',10.0,25.0,20.0,15.0,b'[0-15]',b'[21-100]',b'[16-20]',b'[21-100]',b'[0-15]',b'[0-15]',5.0,7.0,8.0,9.0,5.0,b'[0-5]',b'[6-8]',b'[6-8]',b'[9-10]',b'[0-5]',4.0,7.0,9.0,4.0,3.0,2.0,b'[0-5]',b'[6-8]',b'[9-10]',b'[0-5]',b'[0-5]',b'[0-5]',10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',b'[0-5]',b'[6-8]',b'[9-10]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[0-5]',b'[0-5]',b'[0-5]',-0.51,b'[-1-0]',4.0,3.0,4.0,b'[0-4]',b'[0-3]',b'[3-5]',6.0,2.0,b'[6-8]',b'[0-4]',1.0
8296,b'',1.0,b'technical',4.0,5.0,1.0,b'[0-1]',b'Asian/Pacific Islander/Asian-American',b'Latino/Hispanic American',b'0',1.0,1.0,b'[0-1]',b'[0-1]',b'law',30.0,10.0,20.0,10.0,10.0,20.0,b'[21-100]',b'[0-15]',b'[16-20]',b'[0-15]',b'[0-15]',b'[16-20]',9.0,7.0,9.0,7.0,9.0,6.0,b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',10.0,25.0,20.0,15.0,b'[0-15]',b'[21-100]',b'[16-20]',b'[21-100]',b'[0-15]',b'[0-15]',5.0,7.0,8.0,9.0,5.0,b'[0-5]',b'[6-8]',b'[6-8]',b'[9-10]',b'[0-5]',5.0,4.0,8.0,8.0,4.0,2.0,b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[0-5]',b'[0-5]',10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',b'[0-5]',b'[6-8]',b'[9-10]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[0-5]',b'[0-5]',b'[0-5]',0.35,b'[0.33-1]',4.0,3.0,4.0,b'[0-4]',b'[0-3]',b'[3-5]',4.0,3.0,b'[0-5]',b'[0-4]',1.0
5381,b'',1.0,b'technical',4.0,9.0,5.0,b'[4-6]',b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',1.0,1.0,b'[0-1]',b'[0-1]',b'law',50.0,0.0,25.0,10.0,0.0,15.0,b'[21-100]',b'[0-15]',b'[21-100]',b'[0-15]',b'[0-15]',b'[0-15]',6.0,7.0,7.0,6.0,6.0,6.0,b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',10.0,25.0,20.0,15.0,b'[0-15]',b'[21-100]',b'[16-20]',b'[21-100]',b'[0-15]',b'[0-15]',5.0,7.0,8.0,9.0,5.0,b'[0-5]',b'[6-8]',b'[6-8]',b'[9-10]',b'[0-5]',7.0,6.0,8.0,8.0,6.0,9.0,b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,b'[9-10]',b'[6-8]',b'[9-10]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',b'[0-5]',b'[6-8]',b'[9-10]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[0-5]',b'[0-5]',b'[0-5]',0.46,b'[0.33-1]',4.0,3.0,4.0,b'[0-4]',b'[0-3]',b'[3-5]',9.0,6.0,b'[9-10]',b'[5-6]',0.0
5602,b'',1.0,b'technical',3.0,8.0,5.0,b'[4-6]',b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2.0,4.0,b'[2-5]',b'[2-5]',b'Law',35.0,20.0,20.0,20.0,0.0,5.0,b'[21-100]',b'[16-20]',b'[16-20]',b'[16-20]',b'[0-15]',b'[0-15]',7.0,8.0,8.0,8.0,7.0,7.0,b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',15.0,15.0,25.0,10.0,b'[0-15]',b'[0-15]',b'[21-100]',b'[16-20]',b'[0-15]',b'[0-15]',6.0,6.0,5.0,7.0,7.0,b'[6-8]',b'[6-8]',b'[0-5]',b'[6-8]',b'[6-8]',4.0,8.0,8.0,5.0,7.0,4.0,b'[0-5]',b'[6-8]',b'[6-8]',b'[0-5]',b'[6-8]',b'[0-5]',5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,b'[0-5]',b'[0-5]',b'[0-5]',b'[9-10]',b'[9-10]',b'[9-10]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',0.19,b'[0-0.33]',7.0,3.0,2.0,b'[7-10]',b'[0-3]',b'[0-2]',7.0,4.0,b'[6-8]',b'[0-4]',0.0
9162,b'',1.0,b'technical',3.0,3.0,0.0,b'[0-1]',b'Asian/Pacific Islander/Asian-American',b'Asian/Pacific Islander/Asian-American',b'1',2.0,4.0,b'[2-5]',b'[2-5]',b'Law',19.0,18.0,19.0,18.0,14.0,12.0,b'[16-20]',b'[16-20]',b'[16-20]',b'[16-20]',b'[0-15]',b'[0-15]',10.0,10.0,10.0,10.0,10.0,10.0,b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',15.0,15.0,25.0,10.0,b'[0-15]',b'[0-15]',b'[21-100]',b'[16-20]',b'[0-15]',b'[0-15]',6.0,6.0,5.0,7.0,7.0,b'[6-8]',b'[6-8]',b'[0-5]',b'[6-8]',b'[6-8]',3.0,6.0,8.0,7.0,8.0,8.0,b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,b'[0-5]',b'[0-5]',b'[0-5]',b'[9-10]',b'[9-10]',b'[9-10]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',0.52,b'[0.33-1]',7.0,3.0,2.0,b'[7-10]',b'[0-3]',b'[0-2]',7.0,8.0,b'[6-8]',b'[7-10]',1.0
1244,b'',1.0,b'technical',3.0,4.0,1.0,b'[0-1]',b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2.0,4.0,b'[2-5]',b'[2-5]',b'Law',30.0,5.0,15.0,40.0,5.0,5.0,b'[21-100]',b'[0-15]',b'[0-15]',b'[21-100]',b'[0-15]',b'[0-15]',8.0,8.0,9.0,8.0,9.0,9.0,b'[6-8]',b'[6-8]',b'[9-10]',b'[6-8]',b'[9-10]',b'[9-10]',15.0,15.0,25.0,10.0,b'[0-15]',b'[0-15]',b'[21-100]',b'[16-20]',b'[0-15]',b'[0-15]',6.0,6.0,5.0,7.0,7.0,b'[6-8]',b'[6-8]',b'[0-5]',b'[6-8]',b'[6-8]',7.0,8.0,8.0,7.0,7.0,6.0,b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',b'[6-8]',5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,b'[0-5]',b'[0-5]',b'[0-5]',b'[9-10]',b'[9-10]',b'[9-10]',b'[0-5]',b'[0-5]',b'[6-8]',b'[6-8]',b'[6-8]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',b'[9-10]',-0.46,b'[-1-0]',7.0,3.0,2.0,b'[7-10]',b'[0-3]',b'[0-2]',8.0,6.0,b'[6-8]',b'[5-6]',1.0
